Username,Tweets,Date,Likes,Retweets
Chiltern Railway,"Due to a burst water pipe, we have been advised that the entrance to Hatton station may be blocked until Severn Trent Water has resolved this issue. We apologize for any inconvenience.",10/07/2023,49,19
Chiltern Railway,Strike action will impact our services for the next two days. Check before you travel at http://chilternrailways.co.uk/strike.,09/07/2023,11,4
Chiltern Railway,"Due to a speed restriction over defective track between Banbury and Leamington Spa, trains have to run at reduced speed on the line towards Stourbridge Junction. Train services running through these stations may be delayed by up to 10 minutes. Sorry for any inconvenience caused.",08/07/2023,8,16
Chiltern Railway,We can carry wheelchairs or mobility scooters up to 700mm wide and 1200mm long with a maximum weight of 300kg (including your weight) on our trains. Customers may remain in scooters/wheelchairs when traveling and can use the dedicated wheelchair bays on our trains.,07/07/2023,41,19
Chiltern Railway,"Due to a burst water pipe, we have been advised that the entrance to Hatton station may be blocked until Severn Trent Water has resolved this issue. We apologize for any inconvenience.",06/07/2023,8,13
Chiltern Railway,"Due to a points failure at Leamington Spa, the line towards London is disrupted. Train services running through this station may be delayed by up to 30 minutes.",05/07/2023,3,16
Chiltern Railway,Strike action will impact our services for the next two days. Check before you travel at http://chilternrailways.co.uk/strike.,04/07/2023,34,16
Chiltern Railway,"There is an amended timetable in place today due to planned engineering works. The railway is closed between Wembley Stadium and West Ruislip all day. For further information, please visit http://chilternrailways.co.uk/tickets-and-times/changes.",03/07/2023,23,13
Chiltern Railway,"There is an amended timetable in place today due to planned engineering works. The railway is closed between Wembley Stadium and West Ruislip all day. For further information, please visit http://chilternrailways.co.uk/tickets-and-times/changes.",02/07/2023,60,1
Chiltern Railway,"Due to a points failure at Leamington Spa, the line towards London is disrupted. Train services running through this station may be delayed by up to 30 minutes.",01/07/2023,17,2
Chiltern Railway,Strike action will impact our services for the next two days. Check before you travel at http://chilternrailways.co.uk/strike.,30/06/2023,51,1
Chiltern Railway,"There is an amended timetable in place today due to planned engineering works. The railway is closed between Wembley Stadium and West Ruislip all day. For further information, please visit http://chilternrailways.co.uk/tickets-and-times/changes.",29/06/2023,20,10
Chiltern Railway,"Due to a police dealing with an incident near the railway at Olton, trains have to run at reduced speed. Train services running through this station may be delayed by up to 10 minutes. For live journey updates, please visit: https://journeycheck.com/chilternrailways/.",28/06/2023,30,14
Chiltern Railway,"Due to a fault with the signaling system at South Ruislip, some lines remain blocked at present. Ticket Acceptance is in place with Transport for London (TfL) Central Line services operating between West Ruislip, South Ruislip.",27/06/2023,47,12
Chiltern Railway,The 06:55 Aylesbury to Princes Risborough due 07:12 will be canceled. This is due to a late-running freight train. We apologize for any inconvenience.,26/06/2023,53,5
Chiltern Railway,"Due to a points failure at Leamington Spa, the line towards London is disrupted. Train services running through this station may be delayed by up to 30 minutes.",25/06/2023,13,17
Chiltern Railway,"When assistance has been booked but not provided at the time of travel, we will provide appropriate redress, and you can make a complaint on the webform via http://chilternrailways.co.uk/contact-us.",24/06/2023,13,1
Chiltern Railway,"Due to a points failure at Leamington Spa, the line towards London is disrupted. Train services running through this station may be delayed by up to 30 minutes.",23/06/2023,17,8
Chiltern Railway,"When assistance has been booked but not provided at the time of travel, we will provide appropriate redress, and you can make a complaint on the webform via http://chilternrailways.co.uk/contact-us.",22/06/2023,10,4
Chiltern Railway,"Due to a speed restriction over defective track between Banbury and Leamington Spa, trains have to run at reduced speed on the line towards Stourbridge Junction. Train services running through these stations may be delayed by up to 10 minutes. Sorry for any inconvenience caused.",21/06/2023,39,3
Chiltern Railway,"Due to a fault with the signaling system between Sudbury Hill Harrow and Sudbury & Harrow Road, trains have to run at reduced speed on the line towards London. Train services running through these stations may be delayed by up to 8 minutes.",20/06/2023,48,6
Chiltern Railway,"When assistance has been booked but not provided at the time of travel, we will provide appropriate redress, and you can make a complaint on the webform via http://chilternrailways.co.uk/contact-us.",19/06/2023,33,4
Chiltern Railway,"Due to a points failure at Leamington Spa, the line towards London is disrupted. Train services running through this station may be delayed by up to 30 minutes.",18/06/2023,34,5
Chiltern Railway,"Due to a speed restriction over defective track between Banbury and Leamington Spa, trains have to run at reduced speed on the line towards Stourbridge Junction. Train services running through these stations may be delayed by up to 10 minutes. Sorry for any inconvenience caused.",17/06/2023,41,7
Chiltern Railway,Strike action will impact our services for the next two days. Check before you travel at http://chilternrailways.co.uk/strike.,16/06/2023,1,19
Chiltern Railway,"Disruption caused by the police dealing with an incident near the railway at Olton, trains have to run at reduced speed. Train services running through this station may be delayed by up to 10 minutes. For live journey updates, please visit: https://journeycheck.com/chilternrailways/",15/06/2023,33,2
Chiltern Railway,The 06:55 Aylesbury to Princes Risborough due 07:12 will be canceled. This is due to a late-running freight train. We apologize for any inconvenience.,14/06/2023,9,10
Chiltern Railway,"Due to a fault with the signaling system at South Ruislip, some lines remain blocked at present. Ticket Acceptance is in place with Transport for London (TfL) Central Line services operating between West Ruislip, South Ruislip.",13/06/2023,33,9
Chiltern Railway,The 06:55 Aylesbury to Princes Risborough due 07:12 will be canceled. This is due to a late-running freight train. We apologize for any inconvenience.,12/06/2023,40,17
Chiltern Railway,"Disruption caused by the police dealing with an incident near the railway at Olton, trains have to run at reduced speed. Train services running through this station may be delayed by up to 10 minutes. For live journey updates, please visit: https://journeycheck.com/chilternrailways/",11/06/2023,4,6
Chiltern Railway,We can carry wheelchairs or mobility scooters up to 700mm wide and 1200mm long with a maximum weight of 300kg (including your weight) on our trains. Customers may remain in scooters/wheelchairs when traveling and can use the dedicated wheelchair bays on our trains.,10/06/2023,52,7
Chiltern Railway,"Due to a burst water pipe, we have been advised that the entrance to Hatton station may be blocked until Severn Trent Water has resolved this issue. We apologize for any inconvenience.",09/06/2023,10,12
Chiltern Railway,"We're sorry for the delay in your journey. If you have been delayed by 15 minutes or more, you will likely be entitled to compensation. Claims can be made via this web link: https://chilternrailways.co.uk/delayrepay15.",08/06/2023,36,1
Chiltern Railway,"Due to a speed restriction over defective track between Banbury and Leamington Spa, trains have to run at reduced speed on the line towards Stourbridge Junction. Train services running through these stations may be delayed by up to 10 minutes. Sorry for any inconvenience caused.",07/06/2023,14,1
Chiltern Railway,"We're sorry for the delay in your journey. If you have been delayed by 15 minutes or more, you will likely be entitled to compensation. Claims can be made via this web link: https://chilternrailways.co.uk/delayrepay15.",06/06/2023,22,5
Chiltern Railway,The 06:55 Aylesbury to Princes Risborough due 07:12 will be canceled. This is due to a late-running freight train. We apologize for any inconvenience.,05/06/2023,43,2
Chiltern Railway,"Due to a fault with the signaling system at South Ruislip, some lines remain blocked at present. Ticket Acceptance is in place with Transport for London (TfL) Central Line services operating between West Ruislip, South Ruislip.",04/06/2023,38,20
Chiltern Railway,"Disruption caused by the police dealing with an incident near the railway at Olton, trains have to run at reduced speed. Train services running through this station may be delayed by up to 10 minutes. For live journey updates, please visit: https://journeycheck.com/chilternrailways/",03/06/2023,21,2
Chiltern Railway,"We're sorry for the delay in your journey. If you have been delayed by 15 minutes or more, you will likely be entitled to compensation. Claims can be made via this web link: https://chilternrailways.co.uk/delayrepay15.",02/06/2023,42,10
Chiltern Railway,"I am sorry to say we have a couple of cancellations this morning - 06:55 Service from Aylesbury to Princes Risborough, 07:22 Service from Princes Risborough to Aylesbury. Please check your journey before traveling - https://journeycheck.com/chilternrailways/.",01/06/2023,46,1
Chiltern Railway,"Due to a speed restriction over defective track between Banbury and Leamington Spa, trains have to run at reduced speed on the line towards Stourbridge Junction. Train services running through these stations may be delayed by up to 10 minutes. Sorry for any inconvenience caused.",31/05/2023,30,19
Chiltern Railway,"Due to a points failure at Leamington Spa, the line towards London is disrupted. Train services running through this station may be delayed by up to 30 minutes.",30/05/2023,38,5
Chiltern Railway,"There is an amended timetable in place today due to planned engineering works. The railway is closed between Wembley Stadium and West Ruislip all day. For further information, please visit http://chilternrailways.co.uk/tickets-and-times/changes.",29/05/2023,14,6
Chiltern Railway,"The last trains Southbound today are as follows - 21.48 Aylesbury - Marylebone via Amersham, 20.37 Aylesbury - Princes Risborough, 21.13 Aylesbury Vale Parkway - Marylebone via Amersham, 22.22 Birmingham Moor Street - Banbury.",28/05/2023,29,20
Chiltern Railway,"The last trains Southbound today are as follows - 21.48 Aylesbury - Marylebone via Amersham, 20.37 Aylesbury - Princes Risborough, 21.13 Aylesbury Vale Parkway - Marylebone via Amersham, 22.22 Birmingham Moor Street - Banbury.",27/05/2023,46,14
Chiltern Railway,"Disruption caused by the police dealing with an incident near the railway at Olton, trains have to run at reduced speed. Train services running through this station may be delayed by up to 10 minutes. For live journey updates, please visit: https://journeycheck.com/chilternrailways/",26/05/2023,47,2
Chiltern Railway,"Due to a burst water pipe, we have been advised that the entrance to Hatton station may be blocked until Severn Trent Water has resolved this issue. We apologize for any inconvenience.",25/05/2023,34,20
Chiltern Railway,"Due to a speed restriction over defective track between Banbury and Leamington Spa, trains have to run at reduced speed on the line towards Stourbridge Junction. Train services running through these stations may be delayed by up to 10 minutes. Sorry for any inconvenience caused.",24/05/2023,37,18
Chiltern Railway,"Due to a burst water pipe, we have been advised that the entrance to Hatton station may be blocked until Severn Trent Water has resolved this issue. We apologize for any inconvenience.",23/05/2023,41,4
Chiltern Railway,"The last trains Southbound today are as follows - 21.48 Aylesbury - Marylebone via Amersham, 20.37 Aylesbury - Princes Risborough, 21.13 Aylesbury Vale Parkway - Marylebone via Amersham, 22.22 Birmingham Moor Street - Banbury.",22/05/2023,16,15
Chiltern Railway,"Disruption caused by the police dealing with an incident near the railway at Olton, trains have to run at reduced speed. Train services running through this station may be delayed by up to 10 minutes. For live journey updates, please visit: https://journeycheck.com/chilternrailways/",21/05/2023,14,5
Chiltern Railway,"There is an amended timetable in place today due to planned engineering works. The railway is closed between Wembley Stadium and West Ruislip all day. For further information, please visit http://chilternrailways.co.uk/tickets-and-times/changes.",20/05/2023,54,16
Chiltern Railway,"Apologies, the line towards the West Midlands is currently blocked due to a broken-down train between London Marylebone and Neasden South Jn. Services may be delayed by up to 25 minutes. We're sorry for the inconvenience caused.",19/05/2023,57,15
Chiltern Railway,"I am sorry to say we have a couple of cancellations this morning - 06:55 Service from Aylesbury to Princes Risborough, 07:22 Service from Princes Risborough to Aylesbury. Please check your journey before traveling - https://journeycheck.com/chilternrailways/.",18/05/2023,16,6
Chiltern Railway,"Due to a police dealing with an incident near the railway at Olton, trains have to run at reduced speed. Train services running through this station may be delayed by up to 10 minutes. For live journey updates, please visit: https://journeycheck.com/chilternrailways/.",17/05/2023,4,11
Chiltern Railway,"Disruption caused by the police dealing with an incident near the railway at Olton, trains have to run at reduced speed. Train services running through this station may be delayed by up to 10 minutes. For live journey updates, please visit: https://journeycheck.com/chilternrailways/",16/05/2023,56,14
Chiltern Railway,"Due to a burst water pipe, we have been advised that the entrance to Hatton station may be blocked until Severn Trent Water has resolved this issue. We apologize for any inconvenience.",15/05/2023,1,11
Chiltern Railway,"Due to a burst water pipe, we have been advised that the entrance to Hatton station may be blocked until Severn Trent Water has resolved this issue. We apologize for any inconvenience.",14/05/2023,18,13
Chiltern Railway,"If you are registered blind or have a visual impairment, you can buy a season ticket that allows a companion to travel with you for free. You can buy these tickets at your local ticket offices. For full details, please ask a station staff who will be happy to assist.",13/05/2023,52,16
Chiltern Railway,"Due to a points failure at Leamington Spa, the line towards London is disrupted. Train services running through this station may be delayed by up to 30 minutes.",12/05/2023,58,9
Chiltern Railway,"Due to a burst water pipe, we have been advised that the entrance to Hatton station may be blocked until Severn Trent Water has resolved this issue. We apologize for any inconvenience.",11/05/2023,60,19
Chiltern Railway,Strike action will impact our services for the next two days. Check before you travel at http://chilternrailways.co.uk/strike.,10/05/2023,14,12
